2025-06-30 11:34:56 | INFO | gemini_chatbot | {"timestamp": "2025-06-30T11:34:56.501707", "level": "INFO", "message": "HTTP GET /roles", "service": "gemini_chatbot", "method": "GET", "endpoint": "/roles", "status_code": 200, "response_time_ms": 1.04, "user_agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0", "ip": "127.0.0.1"}
2025-06-30 11:34:56 | INFO | gemini_chatbot | {"timestamp": "2025-06-30T11:34:56.767778", "level": "INFO", "message": "HTTP GET /roles", "service": "gemini_chatbot", "method": "GET", "endpoint": "/roles", "status_code": 200, "response_time_ms": 2.0, "user_agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0", "ip": "127.0.0.1"}
2025-06-30 11:35:34 | INFO | gemini_chatbot | {"timestamp": "2025-06-30T11:35:34.235470", "level": "INFO", "message": "HTTP OPTIONS /chat", "service": "gemini_chatbot", "method": "OPTIONS", "endpoint": "/chat", "status_code": 200, "response_time_ms": 1.0, "user_agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0", "ip": "127.0.0.1"}
2025-06-30 11:35:38 | INFO | gemini_chatbot | {"timestamp": "2025-06-30T11:35:38.556966", "level": "INFO", "message": "Chat request processed", "service": "gemini_chatbot", "question_preview": "Can you tell me about Lucas skills?", "role": "recruiter", "response_time_ms": 4056.28, "cache_hit": false, "relevant_fields": ["skills"]}
2025-06-30 11:35:38 | INFO | gemini_chatbot | {"timestamp": "2025-06-30T11:35:38.557961", "level": "INFO", "message": "Performance: chat_endpoint", "service": "gemini_chatbot", "operation": "chat_endpoint", "duration_ms": 4057.28, "success": true}
2025-06-30 11:35:38 | INFO | gemini_chatbot | {"timestamp": "2025-06-30T11:35:38.558959", "level": "INFO", "message": "HTTP POST /chat", "service": "gemini_chatbot", "method": "POST", "endpoint": "/chat", "status_code": 200, "response_time_ms": 4058.28, "user_agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0", "ip": "127.0.0.1"}
2025-06-30 11:36:18 | INFO | gemini_chatbot | {"timestamp": "2025-06-30T11:36:18.177780", "level": "INFO", "message": "HTTP OPTIONS /chat", "service": "gemini_chatbot", "method": "OPTIONS", "endpoint": "/chat", "status_code": 200, "response_time_ms": 1.03, "user_agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0", "ip": "127.0.0.1"}
2025-06-30 11:36:21 | INFO | gemini_chatbot | {"timestamp": "2025-06-30T11:36:21.789299", "level": "INFO", "message": "Chat request processed", "service": "gemini_chatbot", "question_preview": "Can you summarise this response to me with the most important information?", "role": "recruiter", "response_time_ms": 3342.63, "cache_hit": false, "relevant_fields": ["professional_experience", "intelligent_responses", "certifications", "soft_skills", "academic_background"]}
2025-06-30 11:36:21 | INFO | gemini_chatbot | {"timestamp": "2025-06-30T11:36:21.790263", "level": "INFO", "message": "Performance: chat_endpoint", "service": "gemini_chatbot", "operation": "chat_endpoint", "duration_ms": 3343.59, "success": true}
2025-06-30 11:36:21 | INFO | gemini_chatbot | {"timestamp": "2025-06-30T11:36:21.791261", "level": "INFO", "message": "HTTP POST /chat", "service": "gemini_chatbot", "method": "POST", "endpoint": "/chat", "status_code": 200, "response_time_ms": 3344.59, "user_agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0", "ip": "127.0.0.1"}
